file_name,label
train_data\c52ab42ba0f64a78a30aabac6c97e514.jpg,1.0
train_data\041c36d9269146cdb88e7526e3b91651.jpg,0.0
train_data\c04b6cc7a06f4aebb4faafd01318899a.jpg,1.0
train_data\cccd921234bf487a91d0f61f45d09ce0.jpg,1.0
train_data\5e39a87e7bcf4672827ab13b65b94e90.jpg,0.0
train_data\4ffad390a30b460e9a281df22ad2f71e.jpg,1.0
train_data\9064f320c8e94c96bf7693318639fa75.jpg,1.0
train_data\dc6a740340af48d49a398feb7691323f.jpg,0.0
train_data\e848348fde5d426eb43e9421f2588354.jpg,1.0
train_data\b6d346aecd2a4e6b8c52e121d71e1a7a.jpg,0.0
train_data\3a8354d66b41426f831e9788a8c612c4.jpg,0.0
train_data\2c6a13224ac543a2ae05a57508446a16.jpg,1.0
train_data\3789c19a070e46c498bf0f47a2385f06.jpg,1.0
train_data\25ea852f30594bc5915eb929682af429.jpg,0.0
train_data\8fe559068f6445358989239200259b0c.jpg,0.0
train_data\8adc7c389b9f42ddabc129f2963e1012.jpg,0.0
train_data\2e899be7a5d04b05a7b2ae5cd8f996f1.jpg,0.0
train_data\40cc0da64f6946af9b189de40a2dc307.jpg,0.0
train_data\1b838f84e0e1443fb92e4187793f2bd3.jpg,1.0
train_data\ca52eb6039c84be0b31b507935be2d47.jpg,1.0
train_data\f1208acd82054497ba849c74a6a74b55.jpg,0.0
train_data\be2a032b9f8f4b86ab330b72a6ac15b5.jpg,0.0
train_data\34c4655387d84878b1d5bbdb6e901474.jpg,0.0
train_data\11a16af46e8b4cd3833787bb4cc0ca5c.jpg,1.0
train_data\4719f4c5ea464e3da82993ae9a0e280d.jpg,1.0
train_data\390563601dec46d59b947baea5c15dc6.jpg,0.0
train_data\0ff2d0acb8dd4ec0b61b5b3b1aae766a.jpg,1.0
train_data\428f12559cd44825b4cf739a76940a89.jpg,0.0
train_data\62d727549a634fadbe9fe7d1bb9e7bed.jpg,0.0
train_data\37e66d1c34f447b9b234a65aa57a7e0c.jpg,0.0
train_data\b8a87fe02fea4d04bb9add24b449fdb0.jpg,1.0
train_data\b88909d9d4354f00a980410051cbd144.jpg,0.0
train_data\fbf241cb3baa4b6c8ce0881baebd50e9.jpg,0.0
train_data\42ab6a6cab9847fba19c6ccfd33f71e5.jpg,0.0
train_data\50b2ec0ae1c143f7b28608a5451ac14b.jpg,1.0
train_data\6ec0e6ddb630415ba5edf95fccd5df1c.jpg,0.0
train_data\6aeb8c04e3094648a8f80ee1d62e587c.jpg,0.0
train_data\ddd5b22a4409416dbe4a8229eaa760a5.jpg,0.0
train_data\d46c559b915b4208a270cd33a848aea6.jpg,1.0
train_data\dacfb8a6442c4509be9c00a956f6a1a6.jpg,0.0
train_data\88e676eecc7140e694f9ab3fac39cae9.jpg,1.0
train_data\e3fc6bf9c37644fabcc1103be0f773c1.jpg,0.0
train_data\f814fe31f662437283a80a6560041141.jpg,0.0
train_data\4a23395250454ec79d6cc587934f5652.jpg,0.0
train_data\463c5d7391a248939fca0eea536fce34.jpg,1.0
train_data\a46a580c07794c398e4011ae6bdb200a.jpg,1.0
train_data\48e8b84930cc4203b79633b21d96391e.jpg,0.0
train_data\615df26ce9494e5db2f70e57ce7a3a4f.jpg,1.0
train_data\fa36e5ba8e9b442c837fc84e7f343325.jpg,0.0
train_data\ed2c4361beaa4a82bf45e5cff377d31f.jpg,1.0
train_data\016a2f9d342143f88789969e20266b69.jpg,1.0
train_data\129b67d992a04e39a1d0efa8e5f00588.jpg,1.0
train_data\f3b9bbadd27c4dcd947cca0d2f34129a.jpg,0.0
train_data\3119d7bfcb7546feaa870d820cbc4790.jpg,0.0
train_data\463949ffc0d34a62be9ac228455b3d65.jpg,0.0
train_data\c5dbfba339a742f59433cbee88d84c33.jpg,0.0
train_data\22bbbce08b8c47f5a3343f003b1b0e29.jpg,0.0
train_data\f25e2f9534694f499336b59a84780590.jpg,0.0
train_data\0d9c127c5d4745dbb393d491be3b5b35.jpg,0.0
train_data\9eb06d268a2d4031917ada5bb49bde22.jpg,0.0
train_data\b2de9fa414c64a39b81904e3ca7936f1.jpg,0.0
train_data\0e08f3d172084602a15ec39705833084.jpg,1.0
train_data\58aac4d78a184ccdb2117ef4315260fe.jpg,1.0
train_data\122ec76d8123470b9389b8c0422432af.jpg,1.0
train_data\8f476136d0f84fd880d90602a6b25af3.jpg,0.0
train_data\31b9ebfd85a24b079f5a446e2d3bfb5b.jpg,1.0
train_data\8583f4f7116c426a951e280bd88db79e.jpg,1.0
train_data\66d70fbc5a5c4ec7914318c08f162fe0.jpg,0.0
train_data\4414200488414347933124425930d556.jpg,0.0
train_data\593c0ecaa5eb479ab72635ed3470e9bf.jpg,0.0
train_data\8f9dfdcaa5e944b4a5348785a2ebe99b.jpg,1.0
train_data\2bf4f2cf300f47a8a95e141b13c7e57a.jpg,1.0
train_data\62067a203190414baead58510ede45e0.jpg,0.0
train_data\1ce1826cdf944ba9a0dbad04c4c6441b.jpg,1.0
train_data\8cdc78c27a54451e90268426dd4dee1e.jpg,0.0
train_data\b9a54d88b1a74584bcbfc2f5b8281e75.jpg,0.0
train_data\758333a67b764042889111803f0f11ae.jpg,0.0
train_data\8992456376f743a7aab0a4275ad630b1.jpg,0.0
train_data\ab57b4840461487591c5c8f8769567e6.jpg,0.0
train_data\6767f6935e15405592d7810e6fb44a91.jpg,0.0
